image,prompt
Downy_Woodpecker_0033_184636,there is a bird that is sitting on a branch in the tree
Savannah_Sparrow_0118_118603,there is a bird that is standing on the ground in the grass
Prothonotary_Warbler_0023_173788,there is a yellow bird sitting on a branch in a tree
Caspian_Tern_0029_147589,there is a bird that is flying over the water
Carolina_Wren_0086_186431,there is a small bird sitting on a branch in a tree
Least_Flycatcher_0099_30200,there is a small bird sitting on a branch in the tree
Blue_Jay_0036_61560,there is a blue jay sitting on a tree branch
Carolina_Wren_0044_186645,there is a bird that is standing on a tree branch
Downy_Woodpecker_0124_184364,there is a bird that is standing on a bird feeder
Bronzed_Cowbird_0001_796219,there is a black bird with red eyes sitting on a branch
Least_Flycatcher_0092_30154,there is a small bird sitting on a branch in the tree
Bronzed_Cowbird_0002_796244,there is a black bird with red eyes sitting on a branch
Common_Tern_0083_148096,araffe bird standing in shallow water on beach with sand
Blue_Jay_0024_63167,there is a blue and white bird sitting on a wooden fence
Caspian_Tern_0106_147645,there is a bird that is flying over the water
Pileated_Woodpecker_0065_180324,there is a bird that is standing on a tree branch
Black_Tern_0073_144638,there is a bird that is flying over the water
Common_Tern_0045_150067,there is a bird that is flying over the water
American_Pipit_0080_100055,there is a bird standing on the rocks near the water
Northern_Waterthrush_0024_177293,there is a bird that is standing on the ground in the leaves
Black_Tern_0066_144541,there is a small bird standing on the sand on the beach
Caspian_Tern_0055_146014,there is a bird that is flying in the sky with its wings spread
Cliff_Swallow_0066_133206,there is a bird that is sitting on the side of a building
American_Crow_0134_25206,there is a black bird sitting on a branch in the woods
Horned_Lark_0089_74386,araffe bird with a yellow and black head standing in the snow
Least_Flycatcher_0018_30462,there is a small bird that is sitting in the bushes
Winter_Wren_0066_189637,there is a bird sitting on a branch of a tree
Cedar_Waxwing_0059_178500,araffe bird perched on a branch with a green background
American_Crow_0012_25305,there is a black bird that is sitting on a branch
Song_Sparrow_0113_121683,there is a bird that is sitting on a branch of a tree
Hooded_Warbler_0003_164915,there is a small bird that is sitting on a branch
Ovenbird_0053_92462,there is a bird that is standing on the ground
Bohemian_Waxwing_0006_796651,araffy bird perched on a branch in a tree
Song_Sparrow_0116_121211,there is a bird that is sitting on a branch in the grass
Pelagic_Cormorant_0071_23964,arafed bird flying over the water with its wings spread
Gray_Catbird_0075_21125,there is a small bird standing on a wooden ledge
Bank_Swallow_0067_129959,there is a bird that is sitting on a tree branch
Northern_Waterthrush_0057_177291,there is a bird standing in the water with a green and black stripe on it
Bank_Swallow_0043_129685,arafed bird perched on a wire with a blue sky in the background
Ovenbird_0130_92452,there is a small bird perched on a branch of a tree
Northern_Waterthrush_0027_177286,there is a bird that is standing in the water near some branches
Cedar_Waxwing_0031_178929,araffe sitting on a branch of a tree with a blue sky in the background
Carolina_Wren_0005_186109,there is a small bird that is standing on some gravel
Pileated_Woodpecker_0050_180398,araffe on a tree with a red head and white chest
American_Pipit_0039_99841,there is a bird standing in the water with its reflection
Savannah_Sparrow_0114_119750,there is a bird that is sitting on a wire fence
Bohemian_Waxwing_0081_796636,araffe bird perched on a branch with a blue sky in the background
Caspian_Tern_0013_145553,araffe flying in the sky with its wings spread
Tree_Swallow_0062_137426,there is a bird that is sitting on a sign
Savannah_Sparrow_0062_120185,there is a bird that is sitting on a plant in the grass
Blue_Jay_0029_62199,araffe eating a peanut on the ground with a blue jay
Downy_Woodpecker_0036_184048,there is a bird that is standing on a tree trunk
Hooded_Warbler_0040_165173,there is a small yellow bird sitting on a branch of a tree
Gray_Catbird_0057_20979,there is a small bird sitting on a branch in the woods
Horned_Lark_0009_74646,there is a small bird standing on the ground in the dirt
Blue_Jay_0012_63753,araffe bird perched on a wire with a blurry background
Cliff_Swallow_0075_134516,there is a bird that is flying over a puddle of water
Field_Sparrow_0038_113356,there is a bird that is sitting on a branch in the tree
Yellow_Warbler_0112_176301,yellow bird perched on a branch of a tree with leaves
Pileated_Woodpecker_0118_180138,araffe with a red head and white chest on a tree
Horned_Lark_0082_73833,there is a bird that is sitting on a post in the grass
Yellow_Warbler_0104_176541,yellow bird perched on a branch of a tree with leaves
Bank_Swallow_0032_129491,there is a bird that is sitting on a branch by the water
Cliff_Swallow_0042_133646,there is a bird that is sitting on a wire
Common_Tern_0117_148944,there is a bird that is sitting on a log in the water
Savannah_Sparrow_0094_119040,there is a bird that is standing on a rock in the grass
Tree_Swallow_0019_137073,there is a small bird that is sitting on a fence post
American_Pipit_0102_99979,there is a small bird standing on a rock near a body of water
Hooded_Warbler_0133_165016,there is a yellow bird sitting on a branch with its mouth open
American_Crow_0121_25720,there is a black bird standing on a rock with a fish in it's mouth
Blue_Jay_0081_61714,there is a blue bird sitting on a rock in the grass
American_Pipit_0037_99954,there is a bird standing on the ground in the grass
Bohemian_Waxwing_0054_796623,araffe bird perched on a branch with berries in the background
Gray_Catbird_0049_21311,there is a small bird perched on a branch of a tree
Gray_Catbird_0074_19601,there is a small bird perched on a branch in the forest
American_Pipit_0091_100276,there is a bird standing in the grass on the ground
Blue_Jay_0062_62585,there is a blue bird with a piece of food in its mouth
Least_Flycatcher_0065_30357,there is a small bird sitting on a branch of a tree
Yellow_Warbler_0102_176821,yellow bird perched on a branch with leaves in the background
Gray_Catbird_0129_20987,there is a small bird standing in the water near a rock
Song_Sparrow_0029_120989,there is a bird that is sitting on a small plant
Gray_Catbird_0039_21040,there is a small bird that is standing on a table
Cliff_Swallow_0017_133806,there is a small bird that is sitting on a persons hand
Ovenbird_0032_93199,there is a bird that is sitting on a branch in the tree
Downy_Woodpecker_0091_184537,there is a bird that is eating from a bird feeder
Horned_Lark_0110_73826,there is a small bird sitting on top of a tree stump
Winter_Wren_0044_190068,there is a small bird that is sitting on a mossy tree
Yellow_Warbler_0014_176414,yellow bird perched on a branch of a tree with a green background
Savannah_Sparrow_0095_119670,there is a bird that is sitting on a branch in the wild
Pelagic_Cormorant_0074_23511,there is a bird that is standing on a rock by the water
Carolina_Wren_0099_186237,there is a small bird sitting on a wooden post
Common_Tern_0054_148028,there is a bird that is flying over a rock in the water
Cliff_Swallow_0044_133927,there is a bird that is sitting on the ground next to a nest
Gray_Catbird_0050_20763,there is a small bird perched on a branch of a tree
Black_Tern_0017_143876,arafed bird flying in the sky with its wings spread
American_Crow_0137_25221,there is a bird that is flying in the air
Prairie_Warbler_0052_173400,yellow bird perched on a branch with green leaves in the background
Blue_Jay_0042_61545,there is a blue and yellow bird sitting on a wooden fence
Northern_Waterthrush_0068_177273,there is a bird that is standing on some leaves
Song_Sparrow_0057_121090,there is a bird sitting on a branch in a tree
Cliff_Swallow_0099_133948,there is a bird that is sitting on a branch in the grass
American_Pipit_0087_99996,there is a bird standing in the water near some rocks
Downy_Woodpecker_0121_184002,araffe on a tree trunk with a white and black bird
Tennessee_Warbler_0039_174883,there is a small bird perched on a branch of a tree
Pileated_Woodpecker_0106_180446,there is a bird that is standing on a tree branch
Prairie_Warbler_0108_172559,there is a small yellow bird perched on a branch of a tree
Downy_Woodpecker_0028_184131,there is a bird that is sitting on a pole
Caspian_Tern_0113_146828,there is a bird that is flying over some grass
Bronzed_Cowbird_0037_24032,there is a black bird sitting on a rock in a field
Tree_Swallow_0083_136800,there is a bird that is sitting on a pole with its wings spread
Pelagic_Cormorant_0100_23894,there is a bird that is sitting on a tree branch
Bronzed_Cowbird_0012_796247,there is a black bird that is eating from a bird feeder
Pileated_Woodpecker_0098_180170,there is a bird that is standing on a bird feeder
Carolina_Wren_0112_186562,there is a bird that is standing on a brick wall
Downy_Woodpecker_0073_184430,there is a bird that is sitting on a wooden post
Blue_Jay_0061_63645,there is a blue and white bird sitting on a branch
American_Crow_0027_25146,there is a black bird standing on the ground in the sun
Bank_Swallow_0039_129599,there is a bird that is sitting on a branch in the day
Caspian_Tern_0096_145009,there is a bird that is flying over the water
Northern_Waterthrush_0020_177149,there is a small bird sitting on a branch in the woods
Carolina_Wren_0002_186506,araffe standing on the ground next to a wooden fence
Horned_Lark_0125_73910,araffe bird sitting on a rock with a yellow and black beak
Field_Sparrow_0035_113479,there is a small bird sitting on a branch of a tree
American_Pipit_0017_99902,there is a bird that is standing in the grass
Downy_Woodpecker_0075_184346,there is a bird that is sitting on a ledge
Least_Flycatcher_0061_30429,there is a small bird sitting on a branch in the woods
Blue_Jay_0028_63599,there is a blue bird standing on the ground in the woods
Savannah_Sparrow_0137_119757,araffe bird perched on a wire with a white sky in the background
Carolina_Wren_0019_186527,there is a small bird sitting on a branch of a tree
Bronzed_Cowbird_0044_24145,there is a bird that is walking on the sidewalk near flowers
Ovenbird_0108_92675,there is a bird that is standing in the grass
Bohemian_Waxwing_0097_177944,araffe bird sitting on a branch with a white sky in the background
Horned_Lark_0066_74796,there is a small bird standing on the ground in the dirt
Northern_Waterthrush_0080_177080,there is a bird that is standing in the water
American_Crow_0003_25130,there is a black bird sitting on a wooden post
Carolina_Wren_0077_186294,there is a small bird perched on a branch in the tree
Blue_Jay_0010_61939,there is a blue bird sitting on a branch in the woods
Carolina_Wren_0091_186464,there is a small bird perched on a tree branch in the snow
Bohemian_Waxwing_0024_177661,araffy bird sitting on a branch with berries in the background
Horned_Lark_0025_75003,arafed bird with a yellow and black head standing on a beach
Song_Sparrow_0060_122371,there is a small bird sitting on a branch of a tree
Prairie_Warbler_0058_172573,there is a small yellow bird perched on a persons hand
American_Crow_0004_25819,there is a black bird standing on the ground in the dirt
Prairie_Warbler_0096_172577,yellow bird sitting on a branch of a tree with green leaves
Common_Tern_0009_149609,there is a bird that is standing on the ground
Blue_Jay_0054_61656,there is a blue bird perched on a branch in the woods
Winter_Wren_0033_189635,there is a small bird perched on a branch of a tree
Blue_Jay_0083_61492,araffe blue bird sitting on a post in front of a tree
Field_Sparrow_0025_113683,there is a bird sitting on a branch of a tree
Tree_Swallow_0056_135079,there is a bird that is sitting on a tree stump
Tree_Swallow_0002_136792,there is a small bird sitting on a metal pipe
Tennessee_Warbler_0051_175015,there is a small bird perched on a branch of a tree
Gray_Catbird_0094_21303,there is a bird that is sitting on a branch in the tree
Caspian_Tern_0117_146009,there is a bird that is flying in the sky with a red beak
Cedar_Waxwing_0098_178971,araffe bird sitting on a branch with a blue sky in the background
Prairie_Warbler_0091_172597,yellow bird perched on a branch of a tree in a forest
Common_Tern_0037_148048,there is a bird that is flying over the water
Tennessee_Warbler_0009_174937,there is a small yellow bird perched on a branch of a tree
American_Crow_0122_25200,there is a black bird standing on the sand near a plant
Gray_Catbird_0023_20668,there is a bird that is sitting on a branch in the tree
Bank_Swallow_0008_129590,there is a bird that is sitting on a branch in the tree
Savannah_Sparrow_0068_119972,there is a bird that is sitting on a branch
Gray_Catbird_0053_20694,there is a small bird that is standing on a wooden ledge
Common_Tern_0078_149161,there is a bird that is flying over a rock
Ovenbird_0054_92594,there is a bird that is sitting on a branch in the tree
Downy_Woodpecker_0072_184401,there is a bird that is sitting on a pole
Pileated_Woodpecker_0002_180024,there is a bird that is sitting on a tree branch
Cliff_Swallow_0062_134383,there is a small bird sitting on a metal rail
Field_Sparrow_0074_113504,there is a small bird sitting on a branch of a tree
Cedar_Waxwing_0033_178737,there is a bird sitting on a branch in the middle of a field
American_Crow_0139_25186,there is a black bird sitting on a wire with a blue sky in the background
Prothonotary_Warbler_0040_173447,yellow bird perched on a branch with green leaves in the background
Field_Sparrow_0006_113839,there is a small bird sitting on a branch with a blurry background
Common_Tern_0055_149486,there is a bird that is flying over the water
Tennessee_Warbler_0004_174997,there is a small bird perched on a branch of a tree
Field_Sparrow_0129_113748,there is a bird that is standing on the ground in the grass
Hooded_Warbler_0124_164923,there is a yellow and black bird sitting on a branch
Prairie_Warbler_0075_172709,yellow bird perched on a branch of a tree with leaves
American_Crow_0132_25704,there is a black bird sitting on a barbed wire fence
Cliff_Swallow_0035_133097,there is a bird that is flying in the sky with its wings spread
Northern_Waterthrush_0072_177121,there is a small bird sitting on a branch with a web in it
Cedar_Waxwing_0077_178191,araffy bird with a mohawk sitting on a branch
American_Pipit_0067_100237,there is a small bird walking on the pavement in the street
Prothonotary_Warbler_0121_174643,there is a yellow bird sitting on a branch in the tree
Tennessee_Warbler_0003_175154,there is a bird that is sitting on a branch of a tree
Horned_Lark_0141_74396,there is a bird that is standing in the snow
Black_Tern_0015_143979,there is a bird that is flying in the sky with its wings spread
Prothonotary_Warbler_0117_174622,there is a yellow bird perched on a branch in the woods
Least_Flycatcher_0097_30122,there is a small bird sitting on a wire with a blurry background
Prothonotary_Warbler_0057_173865,there is a small yellow bird standing on a wooden ledge
Least_Flycatcher_0049_30361,there is a small bird sitting on a branch of a tree
Pelagic_Cormorant_0018_23880,there is a bird that is sitting on a rock by the water
Caspian_Tern_0063_146082,there is a bird that is flying in the sky with its wings spread
Bronzed_Cowbird_0058_796239,there is a black bird sitting on a branch with a red eye
Pelagic_Cormorant_0080_23890,there is a black bird sitting on a rock with a beak open
Pelagic_Cormorant_0055_23415,there is a bird that is sitting on a rock by the water
Savannah_Sparrow_0131_119946,there is a bird that is sitting on a wire
Bank_Swallow_0034_129496,there is a bird sitting on a leaf in a tree
Black_Tern_0029_144140,there is a black bird with its wings spread out on the beach
Pileated_Woodpecker_0032_180347,araffe with a red head and white chest on a tree
Caspian_Tern_0006_145594,there is a bird that is flying over the water
Pileated_Woodpecker_0038_180300,there is a bird that is standing on a tree branch
Bohemian_Waxwing_0104_177676,araffy bird perched on a branch with a gray background
Blue_Jay_0013_61463,araffy blue jay perched on a branch with a leaf in its beak
Pileated_Woodpecker_0013_180746,there is a bird that is sitting on a tree branch
Pelagic_Cormorant_0009_23561,there is a bird that is sitting on a rock in the water
Gray_Catbird_0071_20974,there is a small bird perched on a branch of a tree
Prairie_Warbler_0130_172609,there is a yellow bird that is sitting on a branch
Cliff_Swallow_0094_133114,there is a bird that is flying in the sky with its wings spread
Black_Tern_0107_144661,there is a bird standing on the beach looking for food
Common_Tern_0056_148549,arafed bird flying in the sky with its wings spread
Bohemian_Waxwing_0115_177724,araffe bird sitting on a branch with berries in its beak
Prairie_Warbler_0020_173359,yellow bird perched on a branch of a tree with green leaves
Pelagic_Cormorant_0070_23513,there is a bird that is standing on a rock by the water
Pelagic_Cormorant_0032_23570,there is a duck that is swimming in the water
Bohemian_Waxwing_0121_796658,araffe bird perched on a branch with a blue sky in the background
Black_Tern_0103_143956,araffe flying in the sky with its wings spread
Cedar_Waxwing_0024_178230,araffe bird sitting on a branch with white flowers in the background
Song_Sparrow_0096_121313,there is a bird that is standing on a piece of wood
Gray_Catbird_0102_20644,there is a small bird that is standing on a tree stump
Yellow_Warbler_0119_176485,yellow bird perched on a branch of a tree with leaves
Common_Tern_0115_149482,there is a bird that is sitting on top of a pole
Caspian_Tern_0067_145107,there is a bird that is flying in the sky with a red beak
Hooded_Warbler_0030_164897,there is a small yellow bird perched on a branch
Tree_Swallow_0066_135788,there is a small bird sitting on top of a wooden post
Carolina_Wren_0130_186369,there is a small bird sitting on a branch of a tree
Tree_Swallow_0117_134925,there is a small bird that is sitting on a wooden post
Winter_Wren_0071_189689,there is a small bird that is sitting on a tree stump
Prothonotary_Warbler_0083_173929,there is a yellow bird that is standing on a tree
American_Pipit_0034_99946,there is a small bird standing on the ground next to water
Winter_Wren_0116_189834,there is a small bird perched on a rock in the wilderness
American_Crow_0043_25666,there is a black bird that is eating something on the rock
Bohemian_Waxwing_0094_177955,araffe bird sitting on a branch with berries in its beak
Least_Flycatcher_0040_30366,there is a small bird sitting on a branch of a tree
Blue_Jay_0074_63487,there is a blue bird sitting on a wooden post in the woods
Cedar_Waxwing_0093_178139,araffe sitting on a branch of a tree with a blue sky in the background
American_Pipit_0007_99808,there is a small bird sitting on a branch of a tree
Horned_Lark_0046_73950,there is a bird that is standing in the snow
Winter_Wren_0090_190104,there is a small bird that is standing on a mossy branch
Savannah_Sparrow_0116_118108,there is a bird that is sitting on a branch of a tree
Bronzed_Cowbird_0024_24167,there is a black bird standing on the grass in the field
Horned_Lark_0134_74689,araffe standing in the snow with a white and black face
Bohemian_Waxwing_0002_177986,araffe bird perched on a branch with berries in the background
Downy_Woodpecker_0131_184446,there is a bird that is standing on a tree trunk
Savannah_Sparrow_0058_118323,there is a small bird perched on a branch of a tree
Caspian_Tern_0107_145639,arafed bird standing in shallow water with orange beak
Black_Tern_0004_143881,there is a bird that is flying in the sky with its wings spread
Bohemian_Waxwing_0013_796660,araffy bird perched on a branch of a tree with berries
Bank_Swallow_0017_129755,there is a bird that is sitting on a branch of a tree
Cedar_Waxwing_0074_178888,araffe bird perched on a branch of a tree with berries
Northern_Waterthrush_0073_177063,there is a small bird standing in the mud near some plants
Cedar_Waxwing_0062_178788,araffe bird perched on a branch with a blurry background
Tree_Swallow_0071_136749,there is a small bird sitting on a branch with a beak open
Ovenbird_0044_92828,there is a bird that is sitting on a fence
Prothonotary_Warbler_0020_174122,yellow bird perched on a branch with berries in the background
Prairie_Warbler_0063_172682,there is a bird that is standing in the grass with a dandelion
Yellow_Warbler_0038_176388,yellow bird perched on a branch with a green leaf in the background
Bank_Swallow_0027_129503,there is a bird that is sitting on a wire
Hooded_Warbler_0019_164710,yellow and black bird standing in grass with white flowers
Least_Flycatcher_0029_30362,there is a small bird sitting on a branch in the forest
Horned_Lark_0035_74555,there is a bird that is sitting on a wooden post
Song_Sparrow_0112_121027,there is a bird that is sitting on a log
Hooded_Warbler_0048_164622,there is a yellow bird sitting on a branch of a tree
Prairie_Warbler_0010_172547,yellow bird perched on a branch of a tree with leaves
Black_Tern_0012_144091,there is a bird that is sitting on a post
Blue_Jay_0085_62831,there is a blue bird sitting on a branch of a tree
Northern_Waterthrush_0061_177172,there is a small bird sitting on a branch in the woods
Bank_Swallow_0030_129560,there is a bird sitting on a wire with a blue sky in the background
Pelagic_Cormorant_0049_23714,there is a bird flying over the water with its wings spread
Prairie_Warbler_0113_172544,yellow bird perched on a branch with a green background
American_Crow_0130_25163,there is a black bird standing on a white plate
Blue_Jay_0017_62854,araffy blue jay perched on a rock with a yellow background
Cliff_Swallow_0090_133144,there is a small bird sitting on a ledge outside
American_Crow_0119_25610,there is a black bird standing on a pile of rocks
Winter_Wren_0021_189597,there is a small bird that is sitting on a mossy surface
Downy_Woodpecker_0066_183953,there is a bird that is sitting on a tree branch
American_Pipit_0113_99939,there is a small bird standing on the ground with a lot of debris
Savannah_Sparrow_0019_118200,there is a bird that is sitting on a wooden bench
Bohemian_Waxwing_0026_177845,there is a bird that is sitting on a tree branch
Gray_Catbird_0141_21174,there is a bird that is sitting on a branch of a tree
Song_Sparrow_0037_121078,there is a bird that is sitting on a post
Yellow_Warbler_0044_176367,yellow bird perched on a branch of a tree with leaves
Gray_Catbird_0138_20945,there is a small bird sitting on a branch of a tree
American_Crow_0050_25255,there is a black bird standing on the ground in the sun
Carolina_Wren_0043_186286,there is a small bird that is sitting on the ground
Song_Sparrow_0053_121554,there is a small bird standing in the snow on the ground
Cedar_Waxwing_0029_179569,araffy bird with a mohawk sitting on a branch
Pileated_Woodpecker_0110_180521,there is a bird that is sitting on a tree branch
Song_Sparrow_0110_120872,araffe bird perched on a branch with a red beak
Prothonotary_Warbler_0021_173816,there is a yellow bird sitting on a branch in the water
Pelagic_Cormorant_0082_23844,there is a bird that is sitting on a rock by the water
Cedar_Waxwing_0019_178654,there is a bird that is sitting on a branch with a bug in its mouth
Tennessee_Warbler_0002_174884,there is a small bird perched on a branch of a tree
Hooded_Warbler_0016_164837,there is a yellow and black bird sitting on a branch
American_Pipit_0090_99651,there is a small bird standing on a pile of wood
Common_Tern_0092_147779,there is a bird that is flying over the water
Gray_Catbird_0060_20656,there is a small bird sitting on a branch in the woods
Yellow_Warbler_0026_176337,yellow bird perched on a branch in a forest with green leaves
Prothonotary_Warbler_0033_174123,there is a small yellow bird sitting on a branch of a tree
American_Pipit_0101_100053,there is a small bird standing on a rock in the grass
Tennessee_Warbler_0085_156530,there is a bird sitting on a branch of a tree
Blue_Jay_0079_62626,araffe standing in the grass with a blue and white bird
Bohemian_Waxwing_0072_177901,there is a bird sitting on a branch with berries on it
Song_Sparrow_0108_121327,there is a bird that is standing in the grass
Bronzed_Cowbird_0003_796246,there is a black bird sitting on a branch with yellow flowers
Song_Sparrow_0101_120920,there is a small bird sitting on a branch of a tree
Pelagic_Cormorant_0029_23545,there is a bird that is standing on a rock
Tennessee_Warbler_0071_175084,there is a small bird sitting on a branch of a tree
Black_Tern_0064_143990,there is a bird flying over a body of water with yellow flowers
American_Crow_0069_25506,there is a black bird standing on a rock in the leaves
Pelagic_Cormorant_0033_23530,there is a bird that is sitting on a rock by the water
Savannah_Sparrow_0076_120267,there is a bird that is standing in the grass
Tennessee_Warbler_0043_175003,there is a bird that is sitting on a branch eating some leaves
Downy_Woodpecker_0042_184144,there is a bird that is sitting on a ledge
Song_Sparrow_0050_121514,there is a small bird sitting on a branch of a tree
Ovenbird_0135_93168,there is a small bird that is standing on the ground
Prairie_Warbler_0027_172465,there is a small yellow bird perched on a branch of a tree
Bank_Swallow_0053_129501,arafed bird perched on a wire with a blue sky in the background
Pileated_Woodpecker_0060_180443,there is a bird that is standing on a tree trunk
Carolina_Wren_0051_186510,araffe eating a worm on a metal fence post
Yellow_Warbler_0003_176429,yellow bird perched on a branch with a green background
Prothonotary_Warbler_0112_174594,yellow bird with open beak perched on a tree branch in the woods
Bank_Swallow_0057_129499,there is a bird that is sitting on a post
Northern_Waterthrush_0051_177120,there is a small bird perched on a branch of a tree
Cedar_Waxwing_0011_179149,araffy bird perched on a branch with a blue sky in the background
Blue_Jay_0092_61654,araffe bird with a blue and white feather standing on a piece of wood
Downy_Woodpecker_0094_184478,there is a bird that is sitting on a branch of a tree
Field_Sparrow_0108_114154,there is a small bird sitting on a rock in the woods
Bohemian_Waxwing_0036_796661,there is a bird that is sitting on a branch of a tree
Ovenbird_0136_92859,there is a small bird sitting on a branch in the woods
Cedar_Waxwing_0028_179724,there is a bird sitting on a branch in the tree
Winter_Wren_0118_189805,there is a small bird sitting on a branch with moss
Pelagic_Cormorant_0008_23602,there is a bird flying over the water with its wings spread
Bank_Swallow_0001_129516,there is a bird sitting on a wire with a blue sky in the background
Prothonotary_Warbler_0062_174412,yellow and gray bird perched on a branch with a green background
Carolina_Wren_0117_186916,there is a small bird sitting on a branch in the woods
Blue_Jay_0053_62744,araffe standing on the ground with a blue and white bird
Yellow_Warbler_0007_176616,yellow bird perched on a branch with leaves and a blue sky in the background
Song_Sparrow_0046_121903,there is a small bird sitting on a snow covered branch
Prairie_Warbler_0002_172622,there is a small yellow bird sitting on a branch in a tree
Least_Flycatcher_0080_30457,there is a bird sitting on a branch in a tree
Common_Tern_0106_149345,there are two birds that are standing on a rock together
Bohemian_Waxwing_0114_177621,araffe bird eating berries from a branch with a blue sky in the background
Ovenbird_0024_92583,there is a bird sitting on a branch of a tree
Prairie_Warbler_0014_172542,there is a small bird sitting on a plant with a blurry background
Bronzed_Cowbird_0020_796237,there is a black bird with red eyes sitting on a log
Prothonotary_Warbler_0008_173425,yellow bird perched on a branch in a tree with a blurry background
American_Pipit_0123_99929,there is a bird standing on the ground by the water
Winter_Wren_0072_189521,there is a small bird that is sitting on the ground
Common_Tern_0025_147728,there is a bird that is flying over the water
Bronzed_Cowbird_0013_24131,there is a black bird sitting on a branch of a tree
Song_Sparrow_0067_122424,there is a bird sitting on a branch of a tree
Least_Flycatcher_0081_30380,there is a bird that is sitting on a branch in the tree
Bohemian_Waxwing_0009_177972,there is a bird standing on the snow in the woods
Tennessee_Warbler_0075_174763,there is a small bird that is sitting on a blue plate
Hooded_Warbler_0105_165095,there is a small yellow bird sitting on a branch in the woods
Least_Flycatcher_0009_30303,there is a small bird sitting on a branch in the tree
Black_Tern_0079_143998,there is a bird flying over a pond with a duck
Winter_Wren_0102_189563,there is a small bird sitting on a log with a sky background
Bohemian_Waxwing_0021_796625,there are two birds sitting on a branch of a tree
Gray_Catbird_0104_20716,there is a bird that is sitting on a branch in the tree
Least_Flycatcher_0075_30441,there is a small bird sitting on a branch of a tree
Cliff_Swallow_0098_133130,there is a bird that is sitting on a light fixture
Common_Tern_0098_148785,there is a bird that is flying over the water on the beach
Pileated_Woodpecker_0088_180054,there is a bird that is standing on a tree in the woods
Winter_Wren_0131_190061,there is a small brown bird sitting on a branch of a tree
Common_Tern_0012_148477,arafed bird sitting on a rock with a blue ocean in the background
Winter_Wren_0063_189543,there is a small bird sitting on a branch in the woods
Least_Flycatcher_0036_30213,there is a small bird sitting on a branch with berries
Black_Tern_0013_143892,there is a bird that is sitting on a post in the grass
Cedar_Waxwing_0015_178818,araffe bird perched on a branch of a tree with leaves
Black_Tern_0024_144039,there is a small bird standing on the sand near the water
Tree_Swallow_0046_135770,there is a bird that is sitting on a wooden post
Horned_Lark_0115_74271,there is a bird that is standing on the ground in the sand
Gray_Catbird_0001_20695,there is a bird that is standing on a green plant
Yellow_Warbler_0083_176292,there is a yellow bird sitting on a branch in a tree
Field_Sparrow_0009_113860,there is a bird sitting on a branch of a tree
Ovenbird_0137_92639,there is a bird that is sitting on a persons hand
Horned_Lark_0076_73931,there is a small bird standing on a snowy surface
American_Crow_0047_25397,there is a black bird sitting on a tree branch
Horned_Lark_0014_74963,araffe bird standing on a gravel ground with a yellow and black head
Field_Sparrow_0130_113846,there is a small bird sitting on a tree stump
Blue_Jay_0027_63133,araffe bird standing on corn cob with blue feathers
Yellow_Warbler_0043_176247,there is a bird sitting on a branch of a tree
Horned_Lark_0034_73940,arafed bird standing in the middle of a dry grass field
Yellow_Warbler_0030_176236,yellow bird perched on a branch of a tree with a green background
Tree_Swallow_0115_135832,there is a bird that is sitting on a wire outside
Caspian_Tern_0024_146033,araffe bird flying in the sky with its wings spread
Tennessee_Warbler_0096_174993,there is a small bird that is sitting on a table
American_Crow_0109_25123,there is a black bird standing on the ground eating food
Horned_Lark_0096_74075,there is a bird that is standing on the ground eating seeds
Prairie_Warbler_0133_173279,there is a small bird sitting on a rope on a post
Prothonotary_Warbler_0069_174210,yellow bird sitting on a branch with leaves in the background
American_Pipit_0002_100023,there is a small bird that is sitting on a rock
Cliff_Swallow_0015_133176,there is a bird that is standing on the ground by the water
Common_Tern_0028_150117,there is a bird that is standing on a rock by the water
Pileated_Woodpecker_0009_180460,there is a bird that is standing on a tree trunk
Northern_Waterthrush_0076_176986,there is a bird that is sitting on a branch in the tree
American_Pipit_0029_99667,there is a bird that is standing in the grass
Winter_Wren_0111_189596,araffe perched on a branch of a pine tree in the woods
Cliff_Swallow_0087_133294,there is a bird that is sitting on a wire
Tree_Swallow_0075_136081,there is a bird that is sitting on a wire
Prothonotary_Warbler_0055_173419,yellow bird perched on a branch with a blurry background
Prothonotary_Warbler_0045_173536,arafian warbler perched on a branch in a tree
Hooded_Warbler_0130_164826,yellow and black bird perched on a branch of a tree
Song_Sparrow_0003_122425,there is a small bird that is sitting on a post
Cliff_Swallow_0084_133974,there is a bird that is sitting on a wire with a blue sky in the background
Hooded_Warbler_0068_164872,there is a yellow bird sitting on a branch in the woods
Pelagic_Cormorant_0038_23643,there is a black duck swimming in the water with a red beak
Ovenbird_0047_93203,there is a bird that is standing on the ground in the woods
Savannah_Sparrow_0136_119581,there is a bird sitting on a branch of a tree
Bank_Swallow_0023_129878,arafed bird sitting on a wire with a blue sky in the background
Hooded_Warbler_0122_164635,there is a yellow bird standing on the ground in the sun
Bohemian_Waxwing_0078_796649,there is a bird sitting on a branch with a gray sky in the background
American_Pipit_0036_99658,there is a small bird standing on a rock by the water
Horned_Lark_0048_73894,there is a bird that is standing in the snow
Blue_Jay_0050_62974,there is a blue jay sitting on a metal pole
Cedar_Waxwing_0072_178058,araffe bird perched on a branch with green leaves in the background
Least_Flycatcher_0045_30174,there is a bird that is sitting on a wire
Tree_Swallow_0108_135068,there is a small bird that is sitting on a twig
